d1,d2,score,count,n1,n2,atc1,atc2,atc1_first,atc2_first
DCC0461,DCC0307,0.9183873280353044,3,Lexatumumab,Trimetrexate,-,P01AX07,-,P
DCC0461,DCC0429,0.8795483170051609,3,Lexatumumab,Afatinib,-,L01XE13,-,L
DCC0461,DCC0067,0.8956225563331427,3,Lexatumumab,Vinorelbine,-,L01CA04,-,L
DCC0461,DCC0414,0.9095757975488497,3,Lexatumumab,Mesna,-,R05CB05,-,R
DCC0461,DCC0411,0.9036206509600068,3,Lexatumumab,Lomeguatrib,-,-,-,-
DCC0461,DCC0787,0.8907032513843142,3,Lexatumumab,Ipilimumab,-,L01XC11,-,L
DCC0461,DCC1628,0.8815140236107105,3,Lexatumumab,Fotemustine,-,L01AD05,-,L
DCC0461,DCC0634,0.8812168733134719,3,Lexatumumab,Enzastaurin,-,-,-,-
DCC0461,DCC1461,0.8884133167102348,3,Lexatumumab,Isotretinoin,-,D10BA01,-,D
DCC0461,DCC0904,0.8745527499357806,3,Lexatumumab,Neratinib,-,-,-,-
DCC0461,DCC1120,0.8887399499571513,3,Lexatumumab,Pegfilgrastim,-,L03AA10,-,L
DCC0461,DCC1657,0.9038889515421148,3,Lexatumumab,Vandetanib,-,L01XE12,-,L
DCC0461,DCC0596,0.8914159953257824,3,Lexatumumab,ABT-751,-,-,-,-
DCC0461,DCC1555,0.9098936470766402,3,Lexatumumab,Panitumumab,-,L01XC08,-,L
DCC0461,DCC1639,0.9061582880996292,3,Lexatumumab,Ixabepilone,-,L01DC04,-,L
DCC0461,DCC0777,0.8822296137290714,3,Lexatumumab,Pazopanib,-,L01XE11,-,L
DCC0461,DCC0622,0.8674564745543591,3,Lexatumumab,Iniparib,-,-,-,-
DCC0461,DCC1129,0.8840966875809874,3,Lexatumumab,Palifermin,-,V03AF08,-,V
DCC0461,DCC1024,0.9260228959593788,3,Lexatumumab,Teprotumumab,-,-,-,-
DCC0461,DCC1234,0.8536735139038284,3,Lexatumumab,Bleomycin,-,L01DC01,-,L
DCC0461,DCC1535,0.8628397098767562,3,Lexatumumab,Mitoxantrone,-,L01DB07,-,L
DCC0461,DCC1106,0.8512073869870999,3,Lexatumumab,Ofatumumab,-,L01XC10,-,L
DCC0461,DCC1710,0.8719778581732056,3,Lexatumumab,Plerixafor,-,L03AX16,-,L
DCC0461,DCC1245,0.8519359979052585,3,Lexatumumab,Floxuridine,-,-,-,-
DCC0461,DCC0620,0.8641177985684393,3,Lexatumumab,Canfosfamide,-,-,-,-
DCC0461,DCC1681,0.8878862706835234,3,Lexatumumab,Pertuzumab,-,L01XC13,-,L
DCC0461,DCC1688,0.904411851479838,3,Lexatumumab,Axitinib,-,L01XE17,-,L
DCC0461,DCC1624,0.8974209304947497,3,Lexatumumab,Uracil,-,-,-,-
DCC0461,DCC1321,0.8642512392500302,3,Lexatumumab,Vinblastine,-,L01CA01,-,L
DCC0461,DCC0532,0.8580195628047321,3,Lexatumumab,Trientine,-,-,-,-
DCC0461,DCC0956,0.8698071535232631,3,Lexatumumab,Obatoclax,-,-,-,-
DCC0062,DCC0903,0.8603137939317782,2,Pyrazinamide,Elvitegravir,J04AK01,J05AX11,J,J
DCC0056,DCC0903,0.8528030876496457,2,Ethambutol,Elvitegravir,J04AK02,J05AX11,J,J
DCC0161,DCC0903,0.8747316377418364,2,Stavudine,Elvitegravir,J05AF04,J05AX11,J,J
DCC0394,DCC0104,0.852585666606005,3,Aplidine,Raloxifene,-,G03XC01,-,G
DCC0394,DCC0307,0.8526554397667359,3,Aplidine,Trimetrexate,-,P01AX07,-,P
DCC0394,DCC0360,0.8532341155183203,3,Aplidine,"""2'-Deoxyinosine""",-,-,-,-
DCC0394,DCC1024,0.8587300194602318,3,Aplidine,Teprotumumab,-,-,-,-
DCC0096,DCC0401,0.8511453117329637,3,Epirubicin,Phorbol,L01DB03,-,L,-
DCC0802,DCC1740,0.8581416862066371,2,Raltegravir,Bedaquiline,J05AX08,J04AK05,J,J
DCC0215,DCC0401,0.8562339740976647,3,Temozolomide,Phorbol,L01AX03,-,L,-
DCC1164,DCC0401,0.8681910081451693,3,Octreotide,Phorbol,H01CB02,-,H,-
DCC1164,DCC0414,0.8946127775369317,3,Octreotide,Mesna,H01CB02,R05CB05,H,R
DCC1164,DCC0411,0.9010501252218444,3,Octreotide,Lomeguatrib,H01CB02,-,H,-
DCC1164,DCC0596,0.886502930812496,3,Octreotide,ABT-751,H01CB02,-,H,-
DCC1164,DCC0853,0.8784978908739477,3,Octreotide,Linifanib,H01CB02,-,H,-
DCC1164,DCC0532,0.8514777643775142,3,Octreotide,Trientine,H01CB02,-,H,-
DCC1164,DCC0956,0.8520208907987419,3,Octreotide,Obatoclax,H01CB02,-,H,-
DCC1205,DCC0401,0.8671387181005515,3,Midodrine,Phorbol,C01CA17,-,C,-
DCC1205,DCC0414,0.8907573167636577,3,Midodrine,Mesna,C01CA17,R05CB05,C,R
DCC1205,DCC0411,0.9000395195141202,3,Midodrine,Lomeguatrib,C01CA17,-,C,-
DCC1205,DCC0787,0.88883182705219,3,Midodrine,Ipilimumab,C01CA17,L01XC11,C,L
DCC1205,DCC0634,0.8710210396344548,3,Midodrine,Enzastaurin,C01CA17,-,C,-
DCC1205,DCC0904,0.8608649810468103,3,Midodrine,Neratinib,C01CA17,-,C,-
DCC1205,DCC0596,0.8847193391137628,3,Midodrine,ABT-751,C01CA17,-,C,-
DCC1205,DCC0622,0.8582387221135961,3,Midodrine,Iniparib,C01CA17,-,C,-
DCC1205,DCC1024,0.9148082627107778,3,Midodrine,Teprotumumab,C01CA17,-,C,-
DCC1205,DCC0853,0.8747918376268135,3,Midodrine,Linifanib,C01CA17,-,C,-
DCC0162,DCC0401,0.8525444072728791,3,Leucovorin,Phorbol,V03AF03,-,V,-
DCC0108,DCC0401,0.8566812260045159,3,Altretamine,Phorbol,L01XX03,-,L,-
DCC0364,DCC0360,0.8649490034434086,4,Flavopiridol,"""2'-Deoxyinosine""",-,-,-,-
DCC0364,DCC0414,0.8661415778633835,3,Flavopiridol,Mesna,-,R05CB05,-,R
DCC0364,DCC0411,0.8716087734072571,3,Flavopiridol,Lomeguatrib,-,-,-,-
DCC0364,DCC0787,0.859581741521717,3,Flavopiridol,Ipilimumab,-,L01XC11,-,L
DCC0364,DCC0596,0.8556597563710154,3,Flavopiridol,ABT-751,-,-,-,-
DCC0364,DCC1024,0.8855624149372757,3,Flavopiridol,Teprotumumab,-,-,-,-
DCC0364,DCC0853,0.8508764521891229,3,Flavopiridol,Linifanib,-,-,-,-
DCC0401,DCC0104,0.88052457859453,3,Phorbol,Raloxifene,-,G03XC01,-,G
DCC0401,DCC0307,0.8806672111929085,3,Phorbol,Trimetrexate,-,P01AX07,-,P
DCC0401,DCC0420,0.8680759547941724,3,Phorbol,Tirapazamine,-,-,-,-
DCC0401,DCC0275,0.8684405920229598,3,Phorbol,Procainamide,-,C01BA02,-,C
DCC0401,DCC0360,0.8807834210669817,3,Phorbol,"""2'-Deoxyinosine""",-,-,-,-
DCC0401,DCC0088,0.8512327521085887,3,Phorbol,Trifluridine,-,S01AD02,-,S
DCC0401,DCC0067,0.8555833563237449,3,Phorbol,Vinorelbine,-,L01CA04,-,L
DCC0401,DCC0414,0.8656062248542766,3,Phorbol,Mesna,-,R05CB05,-,R
DCC0401,DCC0411,0.8712155705004845,3,Phorbol,Lomeguatrib,-,-,-,-
DCC0401,DCC0787,0.8593080825331877,3,Phorbol,Ipilimumab,-,L01XC11,-,L
DCC0401,DCC1628,0.8507361498493905,3,Phorbol,Fotemustine,-,L01AD05,-,L
DCC0401,DCC1657,0.8616165231409706,3,Phorbol,Vandetanib,-,L01XE12,-,L
DCC0401,DCC0596,0.8550960201774709,3,Phorbol,ABT-751,-,-,-,-
DCC0401,DCC1555,0.8703083531975327,3,Phorbol,Panitumumab,-,L01XC08,-,L
DCC0401,DCC1639,0.86655213969317,3,Phorbol,Ixabepilone,-,L01DC04,-,L
DCC0401,DCC1024,0.8849859429229989,3,Phorbol,Teprotumumab,-,-,-,-
DCC0401,DCC0853,0.8503312756266279,3,Phorbol,Linifanib,-,-,-,-
DCC0401,DCC1688,0.8641331584145671,3,Phorbol,Axitinib,-,L01XE17,-,L
DCC0401,DCC1624,0.8601849653202417,3,Phorbol,Uracil,-,-,-,-
DCC0413,DCC0052,0.8553968615436222,2,Garenoxacin,Piperacillin,J01MA19,J01CA12,J,J
DCC0413,DCC0352,0.8557522981086774,2,Garenoxacin,Tazobactam,J01MA19,J01CG02,J,J
DCC0413,DCC0353,0.8547876916194597,2,Garenoxacin,Ticarcillin,J01MA19,J01CA13,J,J
DCC0028,DCC0903,0.9030297920854484,2,Indinavir,Elvitegravir,J05AE02,J05AX11,J,J
DCC0469,DCC0360,0.8529097297927496,3,Trimidox,"""2'-Deoxyinosine""",-,-,-,-
DCC0307,DCC0532,0.8661090022075532,3,Trimetrexate,Trientine,P01AX07,-,P,-
DCC0420,DCC0532,0.8554021130351991,3,Tirapazamine,Trientine,-,-,-,-
DCC0275,DCC0532,0.8555838642004844,3,Procainamide,Trientine,C01BA02,-,C,-
DCC0360,DCC0414,0.913719172867918,3,"""2'-Deoxyinosine""",Mesna,-,R05CB05,-,R
DCC0360,DCC0411,0.9145223595093008,3,"""2'-Deoxyinosine""",Lomeguatrib,-,-,-,-
DCC0360,DCC0787,0.9027182273019896,3,"""2'-Deoxyinosine""",Ipilimumab,-,L01XC11,-,L
DCC0360,DCC0634,0.8890549383900362,3,"""2'-Deoxyinosine""",Enzastaurin,-,-,-,-
DCC0360,DCC0904,0.8804758086967097,3,"""2'-Deoxyinosine""",Neratinib,-,-,-,-
DCC0360,DCC1120,0.8930691547042994,3,"""2'-Deoxyinosine""",Pegfilgrastim,-,L03AA10,-,L
DCC0360,DCC0596,0.9010079428566332,3,"""2'-Deoxyinosine""",ABT-751,-,-,-,-
DCC0360,DCC1555,0.9185490636441525,3,"""2'-Deoxyinosine""",Panitumumab,-,L01XC08,-,L
DCC0360,DCC1017,0.8517493684842057,3,"""2'-Deoxyinosine""",SCH,-,-,-,-
DCC0360,DCC0622,0.8751041105458782,3,"""2'-Deoxyinosine""",Iniparib,-,-,-,-
DCC0360,DCC1138,0.8510126648232297,3,"""2'-Deoxyinosine""",Gemtuzumab,-,-,-,-
DCC0360,DCC1129,0.8878160783987905,3,"""2'-Deoxyinosine""",Palifermin,-,V03AF08,-,V
DCC0360,DCC1024,0.934618322804424,3,"""2'-Deoxyinosine""",Teprotumumab,-,-,-,-
DCC0360,DCC0630,0.8517802750978519,3,"""2'-Deoxyinosine""",Zosuquidar,-,-,-,-
DCC0360,DCC0945,0.8547461354201346,3,"""2'-Deoxyinosine""",Sepantronium,-,-,-,-
DCC0360,DCC1106,0.8533859946713817,3,"""2'-Deoxyinosine""",Ofatumumab,-,L01XC10,-,L
DCC0360,DCC1681,0.8948651905650123,3,"""2'-Deoxyinosine""",Pertuzumab,-,L01XC13,-,L
DCC0360,DCC0853,0.8970322577138979,3,"""2'-Deoxyinosine""",Linifanib,-,-,-,-
DCC0360,DCC0532,0.8658874054951241,3,"""2'-Deoxyinosine""",Trientine,-,-,-,-
DCC0360,DCC0956,0.8713659668453672,3,"""2'-Deoxyinosine""",Obatoclax,-,-,-,-
DCC0088,DCC0411,0.879788756724154,3,Trifluridine,Lomeguatrib,S01AD02,-,S,-
DCC0414,DCC0640,0.8503380641660317,3,Mesna,Ibritumomab,R05CB05,V10XX02,R,V
DCC0414,DCC1624,0.8912233187585711,3,Mesna,Uracil,R05CB05,-,R,-
DCC0414,DCC0532,0.8537895357295152,3,Mesna,Trientine,R05CB05,-,R,-
DCC0411,DCC1461,0.8797092419683658,3,Lomeguatrib,Isotretinoin,-,D10BA01,-,D
DCC0411,DCC0596,0.8859421475551713,3,Lomeguatrib,ABT-751,-,-,-,-
DCC0411,DCC0853,0.8787526043844148,3,Lomeguatrib,Linifanib,-,-,-,-
DCC0023,DCC0912,0.8705226947528231,2,Pyrimethamine,Dihydroartemisinin,P01BD01,-,P,-
DCC0339,DCC0912,0.8689009740410647,2,Sulfadoxine,Dihydroartemisinin,-,-,-,-
DCC1333,DCC0769,0.8674901027615647,2,Chloroquine,Piperaquine,P01BA01,-,P,-
DCC1333,DCC0912,0.8720714686660804,2,Chloroquine,Dihydroartemisinin,P01BA01,-,P,-
DCC1740,DCC0494,0.8546770289692333,2,Bedaquiline,Cobicistat,J04AK05,V03AX03,J,V
DCC1740,DCC0903,0.859388066883086,2,Bedaquiline,Elvitegravir,J04AK05,J05AX11,J,J
DCC1461,DCC0006,0.8637768973317854,3,Isotretinoin,Aldesleukin,D10BA01,L03AC01,D,L
DCC0903,DCC0494,0.9044322640319268,2,Elvitegravir,Cobicistat,J05AX11,V03AX03,J,V
DCC0903,DCC1552,0.9012523673002536,2,Elvitegravir,Darunavir,J05AX11,J05AE10,J,J
DCC1493,DCC0769,0.8773589992689429,2,Primaquine,Piperaquine,P01BA03,-,P,-
DCC1493,DCC0912,0.8814450554075697,2,Primaquine,Dihydroartemisinin,P01BA03,-,P,-
DCC1493,DCC0927,0.8529375614381622,2,Primaquine,Pyronaridine,P01BA03,-,P,-
DCC1657,DCC0532,0.8511860219862974,3,Vandetanib,Trientine,L01XE12,-,L,-
DCC0596,DCC1624,0.8817828327419438,3,ABT-751,Uracil,-,-,-,-
DCC1555,DCC0532,0.8573351204905436,3,Panitumumab,Trientine,L01XC08,-,L,-
DCC0640,DCC1024,0.8557629713025389,3,Ibritumomab,Teprotumumab,V10XX02,-,V,-
DCC1639,DCC0532,0.8537023979165889,3,Ixabepilone,Trientine,L01DC04,-,L,-
DCC0769,DCC0023,0.8673576659914171,2,Piperaquine,Pyrimethamine,-,P01BD01,-,P
DCC0769,DCC0339,0.8657803185298528,2,Piperaquine,Sulfadoxine,-,-,-,-
DCC0769,DCC1347,0.8698718903621796,2,Piperaquine,Sulfalene,-,-,-,-
DCC0769,DCC0927,0.8551535927853626,2,Piperaquine,Pyronaridine,-,-,-,-
DCC0912,DCC0769,0.88419451807635,2,Dihydroartemisinin,Piperaquine,-,-,-,-
DCC0912,DCC1347,0.8732822318312872,2,Dihydroartemisinin,Sulfalene,-,-,-,-
DCC0912,DCC0927,0.8584787398236847,2,Dihydroartemisinin,Pyronaridine,-,-,-,-
DCC1024,DCC0789,0.850831260073274,3,Teprotumumab,Elesclomol,-,-,-,-
DCC0853,DCC1624,0.8754191303682628,3,Linifanib,Uracil,-,-,-,-
DCC1688,DCC0532,0.8550305510210864,3,Axitinib,Trientine,L01XE17,-,L,-
DCC1624,DCC0403,0.8841246676169335,3,Uracil,Tegafur,-,L01BC03,-,L
DCC1624,DCC0532,0.8508840790664481,3,Uracil,Trientine,-,-,-,-
DCC1624,DCC0956,0.851077813276825,3,Uracil,Obatoclax,-,-,-,-
DCC0414,DCC0764,0.8640419153698645,2,Mesna,Boceprevir,R05CB05,J05AE12,R,J
